"vesselFlagCountry","year","month","area","statisticalRectangle","exclusiveEconomicZone","weight"
"DK",2025,4,"27.3.a.20","44G0","EEC",30895.89
"DK",2025,4,"27.4.b","39F7","EEC",3312
"DK",2025,4,"27.4.b","40F4","EEC",841043.7604014
"DK",2025,4,"27.4.b","40F5","EEC",556.726330338632
"DK",2025,4,"27.4.b","40F7","EEC",40636.6233997155
"DK",2025,4,"27.4.b","41F4","EEC",1507235.35021763
"DK",2025,4,"27.4.b","41F5","EEC",1105261.7589384
"DK",2025,4,"27.4.b","41F6","EEC",148869.478439474
"DK",2025,4,"27.4.b","41F7","EEC",3137.36842105263
"DK",2025,4,"27.4.b","42F6","EEC",1092432.1401995
"DK",2025,4,"27.4.b","42F7","EEC",220964.492570502
"DK",2025,4,"27.4.b","42F8","EEC",1
"DK",2025,4,"27.4.b","43F7","",0
"DK",2025,4,"27.4.b","43F7","EEC",7600274.91079076
"DK",2025,4,"27.4.b","43F8","",0
"DK",2025,4,"27.4.b","43F8","EEC",17610.1515151515
"DK",2025,5,"27.3.a.20","43F8","",0
"DK",2025,5,"27.3.a.20","43F8","EEC",717601.56318029
"DK",2025,5,"27.3.a.20","43F9","EEC",23414.8514077317
"DK",2025,5,"27.3.a.20","44F9","EEC",655320.809851319
"DK",2025,5,"27.4.b","36F6","EEC",49376.8511450382
"DK",2025,5,"27.4.b","37F3","EEC",1243.37478888377
"DK",2025,5,"27.4.b","38F6","EEC",450575.472662451
"DK",2025,5,"27.4.b","38F7","EEC",350814.273979028
"DK",2025,5,"27.4.b","39F3","EEC",110
"DK",2025,5,"27.4.b","39F6","EEC",2538830.92094881
"DK",2025,5,"27.4.b","39F7","EEC",483059.109429016
"DK",2025,5,"27.4.b","40F4","EEC",79334.8639988935
"DK",2025,5,"27.4.b","40F5","EEC",261454.311036448
"DK",2025,5,"27.4.b","40F6","EEC",15897.8125545727
"DK",2025,5,"27.4.b","40F7","EEC",44320.4663355254
"DK",2025,5,"27.4.b","41F4","EEC",984195.92992095
"DK",2025,5,"27.4.b","41F5","EEC",4760099.77214165
"DK",2025,5,"27.4.b","41F6","EEC",227395.103135496
"DK",2025,5,"27.4.b","41F8","",0
"DK",2025,5,"27.4.b","42F6","",0
"DK",2025,5,"27.4.b","42F6","EEC",8055705.48902581
"DK",2025,5,"27.4.b","42F7","EEC",483912.549002727
"DK",2025,5,"27.4.b","43F7","",0
"DK",2025,5,"27.4.b","43F7","EEC",4299511.80025429
"DK",2025,5,"27.4.b","43F8","",0
"DK",2025,5,"27.4.b","43F8","EEC",103128.402488263
"DK",2025,5,"27.4.c","34F4","EEC",981247.272712804
"DK",2025,6,"27.3.a.20","43F8","",0
"DK",2025,6,"27.3.a.20","43F8","EEC",71326.7175584795
"DK",2025,6,"27.3.a.20","43F9","EEC",8972.28571428571
"DK",2025,6,"27.3.a.20","44F9","EEC",251119.135338346
"DK",2025,6,"27.3.a.21","42G1","EEC",29119
"DK",2025,6,"27.4.b","36F4","EEC",40460.4937027708
"DK",2025,6,"27.4.b","36F6","EEC",3937683.0141754
"DK",2025,6,"27.4.b","38F6","EEC",106722.294950792
"DK",2025,6,"27.4.b","38F7","",0
"DK",2025,6,"27.4.b","38F7","EEC",57986.0909090909
"DK",2025,6,"27.4.b","39F4","EEC",76866.1674008811
"DK",2025,6,"27.4.b","39F6","",0
"DK",2025,6,"27.4.b","39F6","EEC",952629.456057684
"DK",2025,6,"27.4.b","39F7","",0
"DK",2025,6,"27.4.b","39F7","EEC",949009.110225572
"DK",2025,6,"27.4.b","40F4","",0
"DK",2025,6,"27.4.b","40F4","EEC",8420854.70567455
"DK",2025,6,"27.4.b","40F5","EEC",2063785.41390158
"DK",2025,6,"27.4.b","40F7","EEC",2631379.8725491
"DK",2025,6,"27.4.b","40F8","EEC",3713.31818181818
"DK",2025,6,"27.4.b","41F4","EEC",519316.548277956
"DK",2025,6,"27.4.b","41F5","EEC",3074925.94883002
"DK",2025,6,"27.4.b","41F7","EEC",11824.1944444444
"DK",2025,6,"27.4.b","41F8","EEC",14123
"DK",2025,6,"27.4.b","42F6","",0
"DK",2025,6,"27.4.b","42F6","EEC",454087.948389279
"DK",2025,6,"27.4.b","42F7","EEC",52107.625342059
"DK",2025,6,"27.4.b","43F7","",0
"DK",2025,6,"27.4.b","43F7","EEC",206537.521039382
"DK",2025,6,"27.4.b","43F8","",0
"DK",2025,6,"27.4.b","43F8","EEC",25002.9013888889
"DK",2025,6,"27.4.b","NONE","EEC",406938.82
"DK",2025,6,"27.4.c","34F4","EEC",3361626.41594762
"DK",2025,7,"27.3.a.20","43F8","EEC",8080
"DK",2025,7,"27.4.b","36F6","EEC",247853.741978022
"DK",2025,7,"27.4.b","36F7","EEC",151.39603232917
"DK",2025,7,"27.4.b","37F6","EEC",1265.28
"DK",2025,7,"27.4.b","37F7","EEC",174.60396767083
"DK",2025,7,"27.4.b","39F6","EEC",123380.549095607
"DK",2025,7,"27.4.b","39F7","EEC",22751.73
"DK",2025,7,"27.4.b","39F8","",0
"DK",2025,7,"27.4.b","39F8","EEC",3105.27
"DK",2025,7,"27.4.b","40F4","EEC",9103216.91477376
"DK",2025,7,"27.4.b","40F5","EEC",425268.466731103
"DK",2025,7,"27.4.b","40F6","EEC",14
"DK",2025,7,"27.4.b","40F7","EEC",313595.450904393
"DK",2025,7,"27.4.b","40F8","EEC",378.55666209068
"DK",2025,7,"27.4.b","41F4","EEC",785380.154166919
"DK",2025,7,"27.4.b","41F5","EEC",390092.707023508
"DK",2025,7,"27.4.b","41F7","EEC",126.617370131558
"DK",2025,7,"27.4.b","41F8","EEC",1254.82596777776
"DK",2025,7,"27.4.c","34F4","EEC",978986.735326689
"DK",2025,8,"27.3.d.24","38G4","EEC",102486
"DK",2025,8,"27.3.d.24","39G4","EEC",249856
"DK",2025,8,"27.4.b","39F8","EEC",14.4048780487805
"DK",2025,8,"27.4.b","40F4","EEC",727865.064516129
"DK",2025,8,"27.4.b","40F7","EEC",50.5951219512195
"DK",2025,8,"27.4.b","40F8","EEC",67.472902375178
"DK",2025,8,"27.4.b","41F5","EEC",74780.7741935484
"DK",2025,8,"27.4.b","41F8","EEC",36.527097624822
"DK",2025,8,"27.4.c","34F4","EEC",112171.161290323
"DK",2025,9,"27.3.d.24","38G4","EEC",323786
"DK",2025,9,"27.3.d.24","39G4","EEC",154440
"DK",2025,9,"27.4.b","40F8","EEC",44
"DK",2025,10,"27.3.a.21","43G1","EEC",3.57446808510638
"DK",2025,10,"27.3.a.21","44G1","EEC",2.42553191489362
"DK",2025,10,"27.3.d.24","38G4","EEC",13876
"DK",2025,11,"27.4.b","39F8","",0
"DK",2025,11,"27.4.b","40F7","EEC",4
